year,vote,rep_respondent,ind_respondent,dem_respondent,state,id,comp_challenger,comp_incumbent,cook,pop,expenditures,dem_inc,inc_age,inc_tenure,vote_incumbent,same,diff,cook_inc_risk
2002,"1. democrat",0,0,1,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,0,0,1,1
2002,"1. democrat",0,0,1,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,0,0,1,1
2002,"1. democrat",0,0,1,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,0,0,1,1
2002,"1. democrat",0,0,1,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,0,0,1,1
2002,"1. democrat",0,0,1,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,0,0,1,1
2002,"2. republican",0,1,0,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,1,0,0,1
2002,"1. democrat",0,0,1,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,0,0,1,1
2002,"2. republican",1,0,0,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,1,1,0,1
2002,"2. republican",1,0,0,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,1,1,0,1
2002,"1. democrat",0,0,1,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,0,0,1,1
2002,"2. republican",1,0,0,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,1,1,0,1
2002,"2. republican",1,0,0,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,1,1,0,1
2002,"1. democrat",0,0,1,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,0,0,1,1
2002,"2. republican",1,0,0,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,1,1,0,1
2002,"1. democrat",0,0,1,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,0,0,1,1
2002,"2. republican",1,0,0,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,1,1,0,1
2002,"2. republican",0,1,0,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,1,0,0,1
2002,"1. democrat",0,1,0,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,0,0,0,1
2002,"2. republican",0,1,0,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,1,0,0,1
2002,"2. republican",1,0,0,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,1,1,0,1
2002,"2. republican",1,0,0,"AL","AL_2002",.1061299,.4399902,"LikelyRep",4.477571,13.98586,0,56,5,1,1,0,1
2004,"1. democrat",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,1,3
2004,"2. republican",1,0,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,1,0,3
2004,"2. republican",1,0,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,1,0,3
2004,"2. republican",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,0,1,3
2004,"1. democrat",0,1,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,0,3
2004,"1. democrat",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,1,3
2004,"2. republican",1,0,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,1,0,3
2004,"2. republican",1,0,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,1,0,3
2004,"1. democrat",0,1,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,0,3
2004,"1. democrat",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,1,3
2004,"2. republican",1,0,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,1,0,3
2004,"2. republican",1,0,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,1,0,3
2004,"1. democrat",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,1,3
2004,"2. republican",1,0,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,1,0,3
2004,"1. democrat",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,1,3
2004,"2. republican",1,0,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,1,0,3
2004,"2. republican",1,0,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,1,0,3
2004,"2. republican",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,0,1,3
2004,"1. democrat",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,1,3
